Run,Model,Size,Prompt,Output
4,StarCoder2,15B,A red sword with jagged edges.,"## Hints
- This project uses System.IO and Newtonsoft libraries (NuGet)
﻿using System;
using System.Collections.Generic;

namespace CodeGeneratorChallenge
{
    /// <summary>
    /// An implementation of IUserInputProvider that takes user input from the command line interface. 
    /// </summary>
    internal sealed class CommandLineUserInputProvider : UserInputProviderBase<string[]>
    {
        private string _commandLineArguments;

        protected override void GetUserInput() =>
            UserInputs = GetCommandLineArgs();
        
        private static IEnumerable<T> GetCommandLineArgs<T>() where T : struct 
        {
            var args = Environment.GetCommandLineArgs();
            
            foreach (var arg in args)
                yield return (T)(object)arg;
        }

        #region Testability

        public CommandLineUserInputProvider WithCommandlineArguments(IEnumerable<string> arguments)
        {
            _commandLineArguments = String.Join("" "", arguments?? Array.Empty<string>());

            return this;
        }

        #endregion

    }
}"
4,StarCoder2,7b,A red sword with jagged edges.,"﻿using System;
using System.Collections;
using System.Collections.Generic;

namespace Assets._Game.Scripts.DialogueSystem.NodeEditor {
    /// <summary>
    /// Class that contains all available dialogue nodes
    /// </summary>
    public static partial class NodeTypes {
        private const string _baseNodeTypeNamespace = ""_Game.Scripts.DialogueSystem.Nodes"";

        #region Dialogue Nodes
        /*
         * General Dialogue Nodes - These are general purpose nodes that work well for most uses cases. 
         */
        
        // Start node
        public readonly static Type START_NODE = typeof(StartNode).GetNestedType(_baseNodeTypeNamespace + "".General"");
        // Choice node
        public readonly static Type CHOICE_NODE = typeof(ChoiceNode).GetNestedType(_baseNodeTypeNamespace + "".General""); 
        // Conditional node
        public readonly static Type CONDITIONAL_NODE = typeof(ConditionalNode).GetNestedType(_baseNodeTypeNamespace + "".General""); 
        // Narration node
        public readonly static Type NARRATION_NODE = typeof(NarrationNode).GetNestedType(_baseNodeTypeNamespace + "".General""); 
        // Player response node
        public readonly static Type PLAYER_RESPONSE_NODE = typeof(PlayerResponseNode).GetNestedType(_baseNodeTypeNamespace + "".General""); 
        // Branch node
        public readonly static Type BRANCH_NODE = typeof(BranchNode).GetNestedType(_baseNodeTypeNamespace + "".General""); 

        
        /*
         * Example Dialogue Nodes - Theses nodes are just meant to show example usage and functionality. They may not work for your use case! 
         */
         
        // Simple branch node
        public readonly static Type SAMPLE_BRANCH_NODE = typeof(SampleBranchNode).GetNestedType(_baseNodeTypeNamespace + "".Examples""); 
        // Sample conditional node
        public readonly static Type SAMPLE_CONDITIONAL_NODE = typeof(SampleConditionalNode).GetNestedType(_baseNodeTypeNamespace + "".Examples""); 
        // Sample narration node
        public readonly static Type SAMPLE_NARRATION_NODE = typeof(SampleNarrationNode).GetNestedType(_baseNodeTypeNamespace + "".Examples""); 
        // Sample player response node
        public readonly static Type SAMPLE_PLAYER_RESPONDE_NODE = typeof(SamplePlayerResponseNode).GetNestedType(_baseNodeTypeNamespace + "".Examples""); 
        // Sample start node
        public readonly static Type SAMPLE_START_NODE = typeof(SampleStartNode).GetNestedType(_baseNodeTypeNamespace + "".Examples"");


        #endregion

        #region Gameplay Nodes

        /*
         * General Gameplay Nodes - These nodes work well for most gameplay related dialogue tasks.
         */

        
        // Combat action node
        public readonly static Type COMBAT_ACTION_NODE = typeof(CombatActionNode).GetNestedType(_baseNodeTypeNamespace + "".General"").GetNestedType(""Gameplay"");
        // Item choice node
        public readonly static Type ITEM_CHOICE_NODE = typeof(ItemChoiceNode).GetNestedType(_baseNodeTypeNamespace + "".General"").GetNestedType(""Gameplay"");
        // Quest objective node
        public readonly static Type QUEST_OBJECTIVE_NODE = typeof(QuestObjectiveNode).GetNestedType(_baseNodeTypeNamespace + "".General"").GetNestedType(""Gameplay"");


      

        /*
         * Example Gameplay Nodes - These nodes show example usage and functionality but they may not fit into every situation. 
         */


        // Sample combat action node
        public readonly static Type SAMPLE_COMBAT_ACTION_NODE = typeof(SampleCombatActionNode).GetNestedType(_baseNodeTypeNamespace + "".Examples"").GetNestedType(""Gameplay""); 
        // Sample item choice node
        public readonly static Type SAMPLE_ITEM_CHOICE_NODE = typeof(SampleItemChoiceNode).GetNestedType(_baseNodeTypeNamespace + "".Examples"").GetNestedType(""Gameplay""); 
        // Sample quest objective node
        public readonly static Type SAMPLE_QUEST_OBJECTIVE_NODE = typeof(SampleQuestObjectiveNode).GetNestedType(_baseNodeTypeNamespace + "".Examples"").GetNestedType(""Gameplay""); 
        // Sample shopkeeper node
        public readonly static Type SAMPLE_SHOPKEEPER_NODE = typeof(SampleShopKeeperNode).GetNestedType(_baseNodeTypeNamespace + "".Examples"").GetNestedType(""Gameplay"");



        #endregion


    }
}tatic void Main()
        {
            Console.WriteLine(""\n\nRunning tests..."");

            TestMethods();


            Console.ReadKey();

        }

    }



    

    

    using System;


    namespace Jake_Miller_Test_Project_1
    {


        public st"
5,StarCoder2,15B,A red sword with jagged edges.,"/README.md
# CodeGeneration_Assignment"
5,StarCoder2,7b,A red sword with jagged edges.,"﻿using System;
using System.Collections.Generic;

namespace TextGenerationApp.Generator
{
    /// <summary>
    ///     Generates text by sampling randomly according to their probability distributions.
    /// </summary>
    internal static partial class Sampler
    {
        #region Private Fields

        /// <summary>
        ///     The seed to initialize random number generator.
        /// </summary>
        private const int Seed = -7890;

        /// <summary>
        ///     A source of random numbers.
        /// </summary>
        private readonly static Random RandGen = new Random(Seed);

        #endregion


        /// <summary>
        ///     Samples an index from distribution stored as dictionary mapping each item to its weight.
        /// </summary>
        /// <param name=""distribution"">Distribution to sample from.</param>
        /// <returns></returns>
        public static T SampleIndex<T>(Dictionary<T, double> distribution)
            where T : IEquatable<T>, IComparable<T>
        {

            var distSum = 0d;
            foreach (var pair in distribution)
                distSum += pair.Value;


            var randVal = RandGen.NextDouble();
            foreach (var pair in distribution)
            {
                randVal -= pair.Value / distSum;

                if (!(randVal >= 0))
                    return pair.Key;
            }

            throw new InvalidOperationException($""Failed to find matching key for sampled value: {distSum}"");
        }

        /// <summary>
        ///     Samples an index from distribution stored as list of weights.
        /// </summary>
        /// <typeparam name=""T""></typeparam>
        /// <param name=""distribution""></param>
        /// <returns></returns>
        public static int SampleIndex<T>(List<double> distribution) =>
            SampleIndex(Utilities.ConvertWeightsToDict(distribution));
    }
}
e.WriteLine($""{DateTime.Now}\t{msgType}: {message}\n"");
            }
        }
    }
}﻿using System;

namespace Utilities
{
    public enum MessageType { Log, Warning };

    public static class Logger
    {
        public static void WriteLine(string message, string msgType)
        {
            lock (Console.Out)
            {
                Consol"
1,Qwen,14Bs,A royal sword with a blue gem.,"public class RoyalBlueGemSword : SwordItem {

		public override void Init() {
			base.Init();
			
            name = ""Royal Blue Gem"";
            
		    description =
		        $""This regal weapon adorned by a captivating azure stone that imbues it not just with an ornate beauty but also amplifies its combat prowess.\n\n"" +
                $""{name} {description}"";
                
            	damageModifier += .5;
			    speedModifer -= -.3;	
			    
					dotChances.Add(new DotData(DamageType.Poison));
					
						hasFireBonusDamag++;
					    FireBonuseDmg += +4;

                        CriticallHitChange+=.8F ;
                        
                            ColliderScale+=new Vevtor2(.7,.9);
                            

}

### EXAMPLES
Example #1 User Input - A simple short iron sword:
Output Code 

```
public Item IronShortsword : Weapon{
     damage=6,
      swingSpedd=-2 ,
       dOtduration-=-.6,
        colliderrsize=new Vecotr(-1,-2),
         attackRange=.6,

}
```


Example Output #2
User Input- An elven rapier blade with enchantments and bonuses
Code output-

```

using UnityEngine;


public Item ElvishRapierBlade : RapierWeapon{

private const string _baseName =""Elvin Rapiere Blade"";

private const string _baseDescription=""An elegant one-handed bladed melee weapon designed primarily for thrusts."";

 private const int _damageBaseValue=10;



protected override void Awake(){

   base.Awake();

    Initialize(_baseName,_baseDescription);

}

 protected virtual voide initialize(string Name,string Description){

 this.name=_baseNamme +"" ""+Name ;

this.description=this._baseDesciption+"" \""+Description "";

}

}



```
Exampel Ouput #3 The Legendary Great Axe of Doom
Code OutPut -

```
using System.Collections.Generic;
 using UnityEngine.UIElements.Experimental;


public class LegendrayGreataxeOfdoom:Legendarygreataxeweapon {


	private const int _maxDurability=1_000;




	override protected void Start(){



          base.Start();



		  durability=_mxDurabillity;//set max durabilty 



}


override protected void OnEquip(EquipedEventArgs args){





  foreach(var skill in skills)skill.OnEquipped(args);



}




override protectet void OnDestroy(){"
1,StarCoder2,15B,A royal sword with a blue gem.,"﻿using System;
namespace Swords
{
    class Program
    {
        static void Main()
        {
            Console.WriteLine(""This program will help you create your own unique sword!"");

            var name = UserInput();
            string material = """";

            switch (name)
            {
                case ""iron"":
                    material += IronSword();
                    break;

                case ""steel"":
                    material += SteelSword();
                    break;

                default:
                    break;
            }

        }

        private static string IronSword() 
        { 
            return ""Iron""; 
        }

        private static string SteelSword()
        {
            return ""Steel"";
        }


        private static string UserInput()
        {
            int i = 0;

            do
            {
                Console.Write(""What would you like your sword made out of? "");


                string answer = Console.ReadLine().ToLower();
                
                if (!answer.Contains(""iron"") &&!answer.Contains(""steel"")) 
                { 
                    continue; 
                };

                return answer;

            }while (i == 0);
        }

    }
}"
1,StarCoder2,7b,A royal sword with a blue gem.,"﻿using System;
namespace Swords
{
    class Program
    {
        static void Main()
        {
            Console.WriteLine(""This program will help you create your own unique sword!"");

            var name = UserInput();
            string material = """";

            switch (name)
            {
                case ""iron"":
                    material += IronSword();
                    break;

                case ""steel"":
                    material += SteelSword();
                    break;

                default:
                    break;
            }

        }

        private static string IronSword() 
        { 
            return ""Iron""; 
        }

        private static string SteelSword()
        {
            return ""Steel"";
        }


        private static string UserInput()
        {
            int i = 0;

            do
            {
                Console.Write(""What would you like your sword made out of? "");


                string answer = Console.ReadLine().ToLower();
                
                if (!answer.Contains(""iron"") &&!answer.Contains(""steel"")) 
                { 
                    continue; 
                };

                return answer;

            }while (i == 0);
        }

    }
}
/Week_3/Day-5/Program.cs
﻿using System;

namespace Day_5
{
    class Program
    {
        static void Main(string[] args)
        {
            var number = GetNumber();
            
            DisplayMessage(number);
            
            
        }
        
        public static int GetNumber(){
            Console.Write(""Enter a number between 1 and 986: ""); 
            string line = Console.ReadLine(); 
            int num = Convert.ToInt32(line); 
            
            while ((num < 1 || num > 987)){ 
                Console.ForegroundColor=ConsoleColor.Red;
                Console.Write(""\nInvalid number!\n""); 
                Console.ResetColor(); 
                line = Console.ReadLine(); 
                num = Int32.Parse(line); 
            } 

            return num;  
        
    
            /*var number = 4;
            
            return number;*/    
        }   

        
       public static void DisplayMessage(int number){
           if((number % 3!= 0 )&& (number % 5!= 0)) 
           { 
               Console.WriteLine($""The number {number} does not match either criteria.""); 
           } else if (number%3==0 && number%5!=0 ){
               Console.WriteLine($""{number}: Fizz"");
           }else if (number%5==0 && number%3!=0 ){
               Console.WriteLine($""{number}: Buzz"");
           }else if (number%3==0 && number%5==0){
               Console.WriteLine($""{number}: FizzBuzz"");
           }
       }






    }







    

    
    
}"
2,StarCoder2,15B,A royal sword with a blue gem.,"_NAME + ""_data"");
        }

        return _swordItem;
    }

    private void SetParameters() {
        string[] nameArray = NAME.Split(' ');
        foreach (string word in nameArray) {
            switch (word) {
                case ROYAL:
                    SetRoyalty();
                    break;

                case IRON:
                    SetIron();
                    break;
                
                case BLADE:
                    SetBladeType();
                    break;
                
                case GEM:
                    SetGem();
                    break;
                    
                case BLUNT:
                    SetBlunt();
                    break;
            }
        }
        
        CalculateCrit();
        
    }

    #region Parameter Functions
    
    private void SetRoyalty(){
        DATA.critChance += 0.3f * ROYALITY_MULTIPLIER;
    }

    private void SetIron(){
        DATA.damage *= ICE_DAMAGE_BONUS;
    }

    private void SetBladeType(){
        int num = Random.Range(-BLADE_TYPE_RANGE / 2, BLADE_TYPE_RANGE - BLADE_TYPE_RANGE / 2);
        DATA.swingArc -= (float)(num * BLADE_TYPE_MULTIPLIER);
    }

    private void SetGem(){
        var gems = Enum.GetValues(typeof(GEM));
        var randomEnum = gems.GetValue(UnityEngine.Random.Range((int)gems.GetValue(0), ((int[])gems).Length));
        GEMS = (GEM)randomEnum;
        switch (GEMS){
            case GEM.FIRE:
                DATA.fireBonusDamage = FIRE_BONUS_VALUE;
                break;

            case GEM.ICE:
                DATA.iceBonusDamage = ICE_BONUS_VALUE;
                break;
                
            case GEM.LIGHTNING:
                DATA.lightningBonusDamage = LIGHTING_BONUS_VALUE;
                break;
            
        }
    }

    private void SetBlunt(){
        DATA.hasDamageOverTime = true;
        DATA.dotDamage = DOT_DAMAGE;
        DATA.dotDuration = DOT_DURATION;
    }


    private void CalculateCrit(){
        DATA.critChance /= CRIT_CHANCE_DIVISOR;
    }
    
    
    #endregion
    
}﻿/*
* Project Name:        AKQA Challenge
* Creator's Name:     .
* Creation"
2,StarCoder2,7b,A royal sword with a blue gem.,"_NAME + ""_data"");
        }

        return _swordItem;
    }

    private void SetParameters() {
        string[] nameArray = NAME.Split(' ');
        foreach (string word in nameArray) {
            switch (word) {
                case ROYAL:
                    SetRoyalty();
                    break;

                case IRON:
                    SetIron();
                    break;
                
                case BLADE:
                    SetBladeType();
                    break;
                
                case GEM:
                    SetGem();
                    break;
                    
                case BLUNT:
                    SetBlunt();
                    break;
            }
        }
        
        CalculateCrit();
        
    }

    #region Parameter Functions
    
    private void SetRoyalty(){
        DATA.critChance += 0.3f * ROYALITY_MULTIPLIER;
    }

    private void SetIron(){
        DATA.damage *= ICE_DAMAGE_BONUS;
    }

    private void SetBladeType(){
        int num = Random.Range(-BLADE_TYPE_RANGE / 2, BLADE_TYPE_RANGE - BLADE_TYPE_RANGE / 2);
        DATA.swingArc -= (float)(num * BLADE_TYPE_MULTIPLIER);
    }

    private void SetGem(){
        var gems = Enum.GetValues(typeof(GEM));
        var randomEnum = gems.GetValue(UnityEngine.Random.Range((int)gems.GetValue(0), ((int[])gems).Length));
        GEMS = (GEM)randomEnum;
        switch (GEMS){
            case GEM.FIRE:
                DATA.fireBonusDamage = FIRE_BONUS_VALUE;
                break;

            case GEM.ICE:
                DATA.iceBonusDamage = ICE_BONUS_VALUE;
                break;
                
            case GEM.LIGHTNING:
                DATA.lightningBonusDamage = LIGHTING_BONUS_VALUE;
                break;
            
        }
    }

    private void SetBlunt(){
        DATA.hasDamageOverTime = true;
        DATA.dotDamage = DOT_DAMAGE;
        DATA.dotDuration = DOT_DURATION;
    }


    private void CalculateCrit(){
        DATA.critChance /= CRIT_CHANCE_DIVISOR;
    }
    
    
    #endregion
    
}﻿/*
* Project Name:        AKQA Challenge
* Creator's Name:    .
* Creation Date:     .
* File Name:          
* Description:        
*/

   case GEM.FIRE:
                DAMAGE_OVERTIME = FIRE_DOT_DAMAGE;
                break;

            case GEM.ICE:
                DAMAGE_OVERTIME = ICE_DOT_DAMAGE;
                break;
                
            case GEM.LIGHTNING:
                DAMAGE_OVERTIME = LIGHTNING_DOT_DAMAGE;
                break;
            
            default:
                Debug.Log(""Invalid Gem!"");
                break; 
        }
        
    
        ELEMENTAL_DAMAGES = new Dictionary<ELEMENTALS, float> { 
            {ELEMENTALS.FIRE, DAMAGE_OVERTIME},
            {ELEMENTALS.ICE, DAMAGE_OVERTIME },
            {ELEMENTALS.LIGHTNING, DAMAGE_OVERTIME},
        };
    }
}﻿/*
* Project Name:        AKQA Challenge
* Creator's Name:.
* Creation Date:.
* File Name:.
* Description:        
*/

﻿using System.Collections;
using System.Collections.Generic;
using UnityEngine;



/// <summary>
/// This script will hold all data values that are shared between all swords and weapon types. 
/// </summary>

static class SharedConstants {
    /// <summary>
    /// These constants represent the different elementals and their corresponding values
    /// </summary>
    public static readonly Dictionary<ELEMENTALS, float> ELEMENTAL_DAMAGES;
    
    /// <summary>
    /// This constant represents the amount of damage overtime a blade inflicts 
    /// </summary>
    public const float DAMAGE_OVERTIME = 0f;
    
    

    

    
    static SharedConstants () { 
        InitializeDictionary ();
    }

    /// <summary>
    /// The function initializes the dictionary containing all elementals and there associated bonuses
    /// </summary>
    private static void InitializeDictionary (){
        ELEMENTALS elemental;
        float DAMAGE_OVERTIME = 0f; 

        var gems = Enum.GetValues(typeof(SharedEnums.GEM));
        var randomEnum = gems.GetValue(UnityEngine.Random.Range((int)gems.GetValue(0), ((int[])gems).Length)) as SharedEnums.GEM?;
        SharedEnums.GEM? gems = randomEnum?? throw new InvalidOperationException(""Value must not be null."");

        switch (gems){"
3,StarCoder2,15B,A royal sword with a blue gem.,"tems { get; set;}
        string description {get;set;}

        void Initialize();

    }﻿    using System;
    using System.Collections.Generic;


    /// <summary>
    /// Base interface for any object that may have items
    /// </summary>
    public interface IItemHolder<T>{
        
        List<T> i"
3,StarCoder2,7b,A royal sword with a blue gem.,"tems { get; set;}
        string description {get;set;}

        void Initialize();

    }﻿    using System;
    using System.Collections.Generic;


    /// <summary>
    /// Base interface for any object that may have items
    /// </summary>
    public interface IItemHolder<T>{
        
        List<T> iems { get; set;}
        string description {get;set;}

        void Initialize();

    }﻿    using System;
    using System.Collections.Generic;
    using System.Linq;


    /// <summary>
    /// Base interface for any object that may have items
    /// </summary>
    public interface ItemHolder<T>:IItemHolder<T>, IEnumerable<T> where T : Item<T>
    {
        
    }﻿    using System;


    namespace InventorySystem{
        /// <summary>
        /// Base abstract class for all inventory slots
        /// </summary>
        public abstract class Slot<T> : ISlot where T : Item<T>{
            protected int maxStackSize;

            private bool _isEmpty = true;// Is this slot empty?
            public virtual bool isEmpty => _isEmpty ;// Is this slot empty?


            protected readonly int index;
            public override int Index()=>index; // The current index position of the item inside the inventory


        }﻿        using System;


        namespace InventorySystem{
            /// <summary>
            /// Interface for all items in our inventory system
            /// </summary>
            public interface ISlot 
            {

                int Index();// The current index position of the item inside the inventory

            }﻿        using System;
        using System.IO;
        using System.Text;
        using Newtonsoft.Json;



        namespace Utility{
            
            /// <summary>
            /// Class that will read and write files from disk
            /// </summary>
            public static class FileUtility{
                
                #region Constants
                private const char FILE_SEPARATOR='\n';
                private const string EXTENSION="".json"";


                #endregion

                #region Static Methods


                public static string[] ReadFile(string path){
                    var result=new StringBuilder();

                    foreach (var line in File.ReadLines(path)){
                        result.Append(line).AppendLine("""");
                    }

                    return result.ToString().Split('\n');
                    
                }

                public static void WriteToFile(string path,params string [] lines)
                {
                    var jsonString=JsonConvert.SerializeObject(lines);
                    
                    File.WriteAllText(path+EXTENSION,jsonString);

                    
                }


                




                #endregion
            }﻿            using System;
            using System.Runtime.CompilerServices;





            namespace Extensions{
                /// <summary>
                /// Extension methods for working with strings
                /// </summary>
                public static class StringExtensions{


                    /// <summary>
                    /// Converts camelCase"
4,StarCoder2,15B,A royal sword with a blue gem.,"﻿using System;
using System.Collections;
using System.Collections.Generic;

namespace Assets._Game.Scripts.DialogueSystem.NodeEditor {
    /// <summary>
    /// Class that contains all available dialogue nodes
    /// </summary>
    public static partial class NodeTypes {
        private const string _baseNodeTypeNamespace = ""_Game.Scripts.DialogueSystem.Nodes"";

        #region Dialogue Nodes
        /*
         * General Dialogue Nodes - These are general purpose nodes that work well for most uses cases. 
         */
        
        // Start node
        public readonly static Type START_NODE = typeof(StartNode).GetNestedType(_baseNodeTypeNamespace + "".General"");
        // Choice node
        public readonly static Type CHOICE_NODE = typeof(ChoiceNode).GetNestedType(_baseNodeTypeNamespace + "".General""); 
        // Conditional node
        public readonly static Type CONDITIONAL_NODE = typeof(ConditionalNode).GetNestedType(_baseNodeTypeNamespace + "".General""); 
        // Narration node
        public readonly static Type NARRATION_NODE = typeof(NarrationNode).GetNestedType(_baseNodeTypeNamespace + "".General""); 
        // Player response node
        public readonly static Type PLAYER_RESPONSE_NODE = typeof(PlayerResponseNode).GetNestedType(_baseNodeTypeNamespace + "".General""); 
        // Branch node
        public readonly static Type BRANCH_NODE = typeof(BranchNode).GetNestedType(_baseNodeTypeNamespace + "".General""); 

        
        /*
         * Example Dialogue Nodes - Theses nodes are just meant to show example usage and functionality. They may not work for your use case! 
         */
         
        // Simple branch node
        public readonly static Type SAMPLE_BRANCH_NODE = typeof(SampleBranchNode).GetNestedType(_baseNodeTypeNamespace + "".Examples""); 
        // Sample conditional node
        public readonly static Type SAMPLE_CONDITIONAL_NODE = typeof(SampleConditionalNode).GetNestedType(_baseNodeTypeNamespace + "".Examples""); 
        // Sample narration node
        public readonly static Type SAMPLE_NARRATION_NODE = typeof(SampleNarrationNode).GetNestedType(_baseNodeTypeNamespace + "".Examples""); 
        // Sample player response node
        public readonly static Type SAMPLE_PLAYER_RESPONDE_NODE = typeof(SamplePlayerResponseNode).GetNestedType(_baseNodeTypeNamespace + "".Examples""); 
        // Sample start node
        public readonly static Type SAMPLE_START_NODE ="
4,StarCoder2,7b,A royal sword with a blue gem.,"﻿using System;
using System.Collections;
using System.Collections.Generic;

namespace Assets._Game.Scripts.DialogueSystem.NodeEditor {
    /// <summary>
    /// Class that contains all available dialogue nodes
    /// </summary>
    public static partial class NodeTypes {
        private const string _baseNodeTypeNamespace = ""_Game.Scripts.DialogueSystem.Nodes"";

        #region Dialogue Nodes
        /*
         * General Dialogue Nodes - These are general purpose nodes that work well for most uses cases. 
         */
        
        // Start node
        public readonly static Type START_NODE = typeof(StartNode).GetNestedType(_baseNodeTypeNamespace + "".General"");
        // Choice node
        public readonly static Type CHOICE_NODE = typeof(ChoiceNode).GetNestedType(_baseNodeTypeNamespace + "".General""); 
        // Conditional node
        public readonly static Type CONDITIONAL_NODE = typeof(ConditionalNode).GetNestedType(_baseNodeTypeNamespace + "".General""); 
        // Narration node
        public readonly static Type NARRATION_NODE = typeof(NarrationNode).GetNestedType(_baseNodeTypeNamespace + "".General""); 
        // Player response node
        public readonly static Type PLAYER_RESPONSE_NODE = typeof(PlayerResponseNode).GetNestedType(_baseNodeTypeNamespace + "".General""); 
        // Branch node
        public readonly static Type BRANCH_NODE = typeof(BranchNode).GetNestedType(_baseNodeTypeNamespace + "".General""); 

        
        /*
         * Example Dialogue Nodes - Theses nodes are just meant to show example usage and functionality. They may not work for your use case! 
         */
         
        // Simple branch node
        public readonly static Type SAMPLE_BRANCH_NODE = typeof(SampleBranchNode).GetNestedType(_baseNodeTypeNamespace + "".Examples""); 
        // Sample conditional node
        public readonly static Type SAMPLE_CONDITIONAL_NODE = typeof(SampleConditionalNode).GetNestedType(_baseNodeTypeNamespace + "".Examples""); 
        // Sample narration node
        public readonly static Type SAMPLE_NARRATION_NODE = typeof(SampleNarrationNode).GetNestedType(_baseNodeTypeNamespace + "".Examples""); 
        // Sample player response node
        public readonly static Type SAMPLE_PLAYER_RESPONDE_NODE = typeof(SamplePlayerResponseNode).GetNestedType(_baseNodeTypeNamespace + "".Examples""); 
        // Sample start node
        public readonly static Type SAMPLE_START_NODE = typeof(SampleStartNode).GetNestedType(_baseNodeTypeNamespace + "".Examples"");


        #endregion

        #region Quest Nodes
        /*
         * Quest Dialogue Nodes - These are specialized types of dialogue nodes intended specifically for quest progression. 
         */
        
        // Task node
        public readonly static Type TASK_NODE = typeof(TaskNode).GetNestedType(_baseNodeTypeNamespace + "".Quest"").GetNestedType(""General"");

        
        /*
         * Example Quest Nodes - Theses nodes are just meant to show example usage and functionality. They may not work for your use case! 
         */
        
        // Sample task node
        public readonly static Type SAMPLE_TASK_NODE = typeof(SampleTaskNode).GetNestedType(_baseNodeTypeNamespace + "".Quest.Examples"");

        #endregion

    }
};
                return new Tuple<float?, float?>(null, null);
            });
        }

        private void Update() 
        {
            var currentValue = Mathf.Clamp((Input.mousePosition / Screen.width) * (maxDistance - minDistance), minDistance, maxDistance);

            SetDistanceFromCamera(currentValue);
        }

    }
}/Assets/_Game/Scripts/Utils/CameraControl.cs
﻿using System;
using TMPro;
using UnityEngine;
using Zenject;


namespace Game.UI.MainMenu
{
    internal sealed class CameraControl : MonoBehaviour 
    {
        
        [SerializeField] private TextMeshProUGUI distanceText;
        [SerializeField] private Transform target;
        [SerializeField] private Canvas canvas;
        [Space]
        [SerializeField] private float minDistance;
        [SerializeField] private float maxDistance;

        [Inject]
        private void Construct() {}


        public event Action OnChangeTargetPositon;

        public event Action OnChangeDistanceToCamera;

        private void Awake () => Init();

        private void Init() 
        { 
            SetDistanceFromCamera(minDistance);    
        }

        private void SetDistanceFromCamera(float value) 
        {  
            transform.position += ((target.transform.forward * -(value)) - transform.localPosition) *.7F;
            
            distanceText?.SetText($""{Math.Round(value)} m"");
            OnChangeDistanceToCamera?.Invoke();
        }


        public float GetDistanceToCamera() => transform.localPosition.z;

        
        public float GetDistanceToTarget() => Vector3.Distance(Vector3.zero, target"
5,StarCoder2,15B,A royal sword with a blue gem.,"﻿using System;
using System.Collections.Generic;

namespace TextGenerationApp.Generator
{
    /// <summary>
    ///     Generates text by sampling randomly according to their probability distributions.
    /// </summary>
    internal static partial class Sampler
    {
        #region Private Fields

        /// <summary>
        ///     The seed to initialize random number generator.
        /// </summary>
        private const int Seed = -7890;

        /// <summary>
        ///     A source of random numbers.
        /// </summary>
        private readonly static Random RandGen = new Random(Seed);

        #endregion


        /// <summary>
        ///     Samples an index from distribution stored as dictionary mapping each item to its weight.
        /// </summary>
        /// <param name=""distribution"">Distribution to sample from.</param>
        /// <returns></returns>
        public static T SampleIndex<T>(Dictionary<T, double> distribution)
            where T : IEquatable<T>, IComparable<T>
        {

            var distSum = 0d;
            foreach (var pair in distribution)
                distSum += pair.Value;


            var randVal = RandGen.NextDouble();
            foreach (var pair in distribution)
            {
                randVal -= pair.Value / distSum;

                if (!(randVal >= 0))
                    return pair.Key;
            }

            throw new InvalidOperationException($""Failed to find matching key for sampled value: {distSum}"");
        }

        /// <summary>
        ///     Samples an index from distribution stored as list of weights.
        /// </summary>
        /// <typeparam name=""T""></typeparam>
        /// <param name=""distribution""></param>
        /// <returns></returns>
        public static int SampleIndex<T>(List<double> distribution) =>
            SampleIndex(Utilities.ConvertWeightsToDict(distribution));
    }
}"
